ID,Name,Identity,Alignment,EyeColor,HairColor,Gender,Status,Appearances,FirstAppearance,Year,Universe
100021,Cilicia (Earth-616),Public,Neutral,,,Female,Living,34,09/01/1979,1979,Marvel
100022,Aries (Ecliptic) (Earth-616),,Bad,,,Male,Living,1,07/01/1998,1998,Marvel
100023,Clarence Fielding (Earth-616),Public,,,Brown,Male,Living,4,03/01/1998,1998,Marvel
100024,Geech (Earth-616),Secret,Bad,,Black,Male,Living,1,12/01/2004,2004,DC
100025,Turhan Barim (Earth-616),Public,Good,,Black,Male,Living,1,08/01/1975,1975,Marvel
100026,Feathered Serpent (Earth-Two),,Bad,Brown,Blond,Male,Living,2,"1982, January",1982,DC
100027,Nikolai Mordo (Earth-616),,Bad,,,Male,Living,1,08/01/1989,1989,DC
100028,Myrmidon (Robot) (Earth-616),,,,,,Living,1,09/01/1970,1970,Marvel
100029,Hana (Earth-616),No Dual,Good,Blue,Blond,Female,Living,4,07/01/2003,2003,Marvel
100030,Ensen (Earth-616),Public,Neutral,,Brown,Male,Living,1,10/01/1944,1944,Marvel
100031,Julius Akerman (Earth-616),Public,Bad,,White,Male,Living,1,01/01/1985,1985,DC
100032,Basaltar (Earth-616),No Dual,Neutral,Grey,No,Male,Living,1,10/01/2000,2000,DC
100033,Ramsey Murdoch (New Earth),Secret,Bad,Blue,Red,Male,Living,9,"1994, December",1994,DC
100034,Mrs. Altman (Anelle's Nursemaid) (Earth-616),Secret,Neutral,Blue,Blond,Female,Deceased,,12/01/2005,2005,DC
100035,Mary Storm (Earth-616),Public,Good,,Blond,Female,Deceased,2,11/01/1964,1964,DC
100036,Aradnea (Earth-616),,Bad,,Black,Female,Living,7,08/01/2011,2011,DC
100037,Clay Irons (New Earth),Secret,Good,Brown,Black,Male,Living,1,06/17/1905,1995,DC
100038,Etta Langstrom (Earth-616),Secret,Bad,,,Female,Living,2,10/01/1997,1997,Marvel
100039,G'anym (Earth-616),Public,,,,Female,Living,,07/01/2000,2000,Marvel
100040,Teleplex (Earth-616),,Good,,,Male,Living,1,02/01/1990,1990,Marvel
100041,Leecher (Earth-616),Secret,Bad,,,Male,Living,2,09/01/1993,1993,DC
100042,Analisa Medina (Earth-616),No Dual,Good,Brown,Black,Female,Living,11,04/01/1992,1992,DC
100043,Gynt (Earth-616),Secret,Bad,,,Male,Living,2,01/01/2011,2011,Marvel
100044,Greensong (Earth-616),,Good,,No,,Living,4,02/01/1986,1986,Marvel
100045,Jonathan Gatesworth (Earth-616),,Bad,,,Male,Living,1,06/01/1996,1996,Marvel
100046,Genecide (Earth-616),,,,Brown,Female,Living,4,09/01/1995,1995,DC
100047,Damon Dran (Earth-616),Public,,Blue,Grey,Male,Deceased,13,10/01/1972,1972,Marvel
100048,Robert Delgado (Earth-616),Secret,Bad,,Black,Male,Deceased,3,08/01/1988,1988,DC
100049,Taurus (LMD) (Earth-616),Secret,Bad,,Blond,Female,Living,10,07/01/1977,1977,DC
100050,Galactus (Skrull) (Earth-616),Secret,Bad,Green,No,Male,Living,2,12/01/2008,2008,Marvel
100051,Eli McIntyre (Earth-616),Public,Good,,,Male,Living,3,08/01/1992,1992,DC
100052,Ralph Sorrell (Earth-616),Public,Bad,,Brown,Male,Deceased,1,11/01/1973,1973,DC
100053,Raymonde Belmonde (Earth-616),,Good,Brown,Brown,Male,Deceased,4,02/01/1984,1984,DC
100054,Lucy Priest (Earth-616),Secret,Good,,Blond,Female,Living,1,07/01/2002,2002,DC
100055,Earl Povich (New Earth),,Bad,Blue,Black,Male,Living,1,06/19/1905,1997,DC
100056,Carol Selby (Earth-616),Public,Good,,Brown,Female,Living,6,06/01/1975,1975,DC
100057,Yvette Steckley (Earth-616),Public,Neutral,,Blond,Female,Deceased,3,05/01/1974,1974,DC
100058,Monica Lynne (Earth-616),Public,Good,Brown,Black,Female,Living,36,02/01/1970,1970,Marvel
100059,"Winthrop Roan, Jr. (Earth-616)",Secret,Good,Blue,Red,Male,Living,20,05/01/1982,1982,DC
100060,Fiona Knoblach (Earth-616),Secret,Bad,Green,Red,Female,Deceased,10,02/01/2001,2001,DC
100061,Doctor Ogada (Earth-616),Secret,,,Bald,Male,Living,3,08/01/1997,1997,Marvel
100062,Mick Patterson (Earth-616),Secret,,,,Male,Living,2,05/01/2000,2000,DC
100063,Arthur Zix (Earth-616),Secret,,,Grey,Male,Deceased,16,11/01/2004,2004,Marvel
100064,Duntumbla (Earth-616),No Dual,Neutral,,Brown,,Living,1,05/01/1994,1994,DC
100065,Juan Aponte (Earth-616),Secret,Bad,,Bald,Male,Living,2,03/01/1975,1975,DC
100066,Marcus Tucker (Earth-616),,Good,,Black,Male,Living,5,10/01/2001,2001,DC
100067,Nullifier (New Earth),,Bad,,,Male,Living,,"1982, April",1982,DC
100068,Mister Frost (New Earth),,Bad,Red,White,Male,Living,1,"1997, March",1997,DC
100069,Xander (Creators) (Earth-616),No Dual,,,Black,Male,Living,3,10/01/1976,1976,DC
100070,Arthur Pendragon (New Earth),Public,Good,Brown,Brown,Male,Living,41,"1936, February",1936,DC
100071,Dro'ge Fenu Edu (Earth-616),Public,Bad,Green,No,Male,Living,,06/01/2008,2008,Marvel
100072,Dexter Parrish (Earth-616),,Bad,Yellow,No,Male,Living,1,06/01/1998,1998,DC
100073,John Thomas (Earth-616),Public,,Brown,Brown,Male,Living,2,02/01/1966,1966,DC
100074,Pat Murphy (Earth-616),Secret,Good,,,Male,Deceased,6,11/01/1941,1941,Marvel
100075,Daphne von Wilkinson (Earth-616),No Dual,Bad,,,Female,Deceased,2,07/01/1975,1975,Marvel
100076,Jung Sakamura (Earth-616),Public,Good,,Black,Male,Living,2,01/01/1995,1995,DC
100077,Witchazel (New Earth),Secret,Bad,,Purple,Female,Living,2,"2005, November",2005,DC
100078,Mister Chambers (Earth-616),Secret,Bad,,Red,Male,Living,17,01/01/1978,1978,DC
100079,'Spinner (Earth-616),Secret,Good,,,Male,Living,,11/01/2007,2007,Marvel
100080,Stefan of Symkaria (Earth-616),Public,Good,Brown,Black,Male,Living,2,05/01/1994,1994,DC
100081,Mutate 9212 (Earth-616),Public,Neutral,Black,Bald,Male,Living,,11/01/1990,1990,DC
100082,Thrasher (Angel) (Earth-616),Secret,Good,Blue,Blond,Male,Living,4,06/01/2002,2002,DC
100083,Natalie Bell (Earth-616),Secret,Good,,Brown,Female,Living,1,09/01/2006,2006,DC
100084,Omaka (Earth-616),Public,,Yellow,Red,Female,Deceased,14,09/01/2008,2008,DC
100085,Hercules (CSA) (Earth-616),Known to Authorities,Good,,Black,Male,Living,2,02/01/2007,2007,DC
100086,Whisperer (Demon) (Earth-616),Secret,Bad,Green,No,,Living,1,09/01/1993,1993,Marvel
100087,Orini (Earth-616),No Dual,Bad,,Bald,Male,Living,13,11/01/1964,1964,DC
100088,Monica Rambeau (Earth-616),Secret,Good,Brown,Black,Female,Living,327,,,DC
100089,Mordred of the Kindly Ones (New Earth),,Neutral,,White,Female,Living,18,"1969, March",1969,DC
100090,Peter (Nereel) (Earth-616),Secret,Good,Black,Black,Male,Living,4,10/01/1988,1988,DC
100091,Cole Yorby (Earth-616),Public,Bad,,Black,Male,Living,1,04/01/1969,1969,Marvel
100092,Luther Gorr (Earth-616),Secret,Bad,,,Male,Living,2,03/01/1962,1962,DC
100093,Number 5 (Sentinel) (Earth-616),,Bad,,,,Deceased,1,08/01/1969,1969,Marvel
100094,Solveig (Earth-616),Public,Good,,Brown,Female,Living,1,12/01/1984,1984,DC
100095,Eric Heller (Earth-616),Public,Neutral,,Brown,Male,Deceased,6,01/01/1991,1991,Marvel
100096,James Larner (Earth-616),Public,Good,Brown,Brown,Male,Deceased,12,05/01/1976,1976,Marvel
100097,Bert Packer (Earth-616),,Bad,,Black,Male,Living,1,08/01/1990,1990,DC
100098,Jean-Paul Beaubier (Earth-616),Secret,Good,Blue,Black,Male,Living,313,04/01/1979,1979,DC
100099,Abraham Erskine (Earth-616),Secret,,Brown,Black,Male,Deceased,48,03/01/1941,1941,DC
100100,Andrew Black (Earth-616),Secret,Good,,Red,Male,Living,3,09/01/1993,1993,Marvel
100101,Minn-Erva (Earth-616),Public,Bad,Blue,Black,Female,Living,16,05/01/1977,1977,DC
100102,Armaziel (Earth-616),,Good,Blue,No,Female,Living,1,10/01/1993,1993,DC
100103,Jack Truman (Earth-616),Secret,Good,Blue,Black,Male,Living,20,10/01/1998,1998,DC
100104,Don Marshall (Earth-616),Secret,Bad,,Blond,Male,Deceased,1,03/01/1942,1942,DC
100105,Blake Schiel (Earth-616),Public,Neutral,Blue,Blond,Female,Living,2,,,DC
100106,Andrea Janson (Earth-616),,Bad,Brown,,Female,Deceased,7,02/01/1997,1997,DC
100107,Dominique Levant (Earth-616),,Bad,,Black,Male,Living,,11/01/1998,1998,DC
100108,Exile (Demon) (Earth-616),Secret,Bad,Red,,Male,Living,1,12/01/1994,1994,Marvel
100109,Cossack (New Earth),Secret,Bad,,Brown,Male,Living,2,"1978, January",1978,DC
100110,Lucius Fox (New Earth),Public,Good,Brown,Black,Male,Living,133,"1979, January",1979,DC
100111,Rico Lazar (Earth-616),Public,Good,Brown,Black,Male,Living,1,05/01/1993,1993,Marvel
100112,Wraith High Witch (Earth-616),Secret,Bad,,Grey,Female,Living,4,08/01/1982,1982,Marvel
100113,Isabel Ferguson (Earth-616),Secret,Good,Blue,Black,Female,Living,5,09/01/1997,1997,Marvel
100114,Quill (Resistants) (Earth-616),Public,,Brown,Black,Male,Living,6,07/01/1988,1988,DC
100115,Doctor Macabre (Earth-616),Public,Bad,,Black,Male,Living,1,03/01/1948,1948,DC
100116,Sam Scorpio (Earth-616),Public,Bad,,,Male,Living,1,03/01/1964,1964,Marvel
100117,Duron (Earth-616),Public,Neutral,,Brown,Male,Deceased,1,04/01/1972,1972,DC
100118,Chuma (New Earth),,Bad,Brown,,Male,Living,14,"1987, August",1987,DC
100119,James Madrox (Fallen Angels) (Earth-616),Secret,Bad,Green,Brown,Male,Deceased,13,05/01/1987,1987,DC
100120,Kuan-Yin Xorn (Earth-616),Secret,Bad,,,Male,Deceased,41,09/01/2001,2001,Marvel
100121,Lana Love (Earth-616),Public,Good,,Blond,Female,Living,1,11/01/1942,1942,Marvel
100122,Punisher (Cyborg) (Earth-616),,Bad,,,,Deceased,13,04/01/1966,1966,Marvel
100123,Otto Vermis (Earth-616),,Bad,,Grey,Male,Deceased,7,02/01/1977,1977,Marvel
100124,Beta Ray Bill (Earth-616),No Dual,Good,White,No,Male,Living,153,11/01/1983,1983,Marvel
100125,Brane (New Earth),Public,Good,Blue,Black,Male,Living,3,"1944, December",1944,DC
100126,Munin (Earth-616),,Good,Black,,Male,Living,40,08/01/1978,1978,Marvel
100127,Miri Riam (New Earth),Secret,Good,Blue,Red,Female,Living,16,"2008, December",2008,DC
100128,Laralei,,,Blue,Blue,Female,Living,,08/01/1977,1977,Marvel
100129,Hobgoblin (Imperial Guard) (Earth-616),Secret,Neutral,Yellow,No,Male,Deceased,19,10/01/1977,1977,DC
100130,Ranaq (Earth-616),Public,,,,,Living,7,09/01/1984,1984,DC
100131,William Hollister (Earth-616),No Dual,Good,Brown,Black,Male,Living,14,02/01/2008,2008,DC
100132,Kuurth (Earth-616),Secret,Bad,Orange,No,Male,Living,4,07/01/2011,2011,DC
100133,Eva Alexander (Earth-616),,Good,Brown,Black,Female,Living,15,04/01/2013,2013,DC
100134,Vril Dox I (New Earth),Secret,Bad,Green,,Male,Living,102,"1988, March",1988,DC
100135,Neena Thurman (Earth-616),Secret,Good,Blue,Black,Female,Living,310,03/01/1992,1992,DC
100136,Aiomumkondi (Earth-616),,,,,Male,Living,1,05/01/2000,2000,DC
100137,Mary Carmody (Earth-616),Public,Good,,Brown,Female,Living,1,08/01/1940,1940,DC
100138,Riot (Symbiote) (Earth-616),,Neutral,White,Bald,Agender,Living,14,05/01/1993,1993,Marvel
100139,Tiger Shark (Hobgoblin) (Earth-616),Secret,Bad,,,Male,Living,1,,,DC
100140,Maelstrom (Earth-616),Secret,Bad,Purple,Purple,Male,Deceased,28,01/01/1981,1981,DC
100141,Psychobabble (Earth-616),Secret,,,Brown,Male,Living,2,08/01/1994,1994,Marvel
100142,Frank Ferrule (Earth-616),,Good,,Brown,Male,Living,2,04/01/1943,1943,DC
100143,Hiro-Amin (Earth-616),No Dual,Bad,,Bald,Male,Deceased,4,08/01/2008,2008,DC
100144,Lady Elizabeth Braddock (Earth-616),No Dual,Good,,Black,Female,Deceased,12,01/01/1977,1977,Marvel
100145,Hairy Larry (New Earth),Secret,Good,,Red,Male,Living,2,"1976, January",1976,DC
100146,Jean-Pierre Beaubier (Earth-616),Secret,Bad,Blue,Blond,Male,Living,4,08/01/2001,2001,DC
100147,Madeline Berry (Earth-616),No Dual,Good,Green,Red,Female,Living,37,08/01/2010,2010,DC
100148,Eddie (Guardsman) (Earth-616),Public,,,,Male,Living,1,03/01/1988,1988,DC
100149,Johannes Haff (Earth-616),Secret,Bad,,Red,Male,Living,,08/01/1988,1988,Marvel
100150,Mongu (Earth-616),No Dual,Bad,Red,Brown,Male,Living,4,06/01/1973,1973,Marvel
100151,Kelly Kooliq (Earth-616),Public,Bad,Brown,Brown,Female,Living,6,04/01/2000,2000,DC
100152,Alan Burstyn (Earth-616),,Bad,,Brown,Male,Living,1,09/01/1990,1990,Marvel
100153,Kai-Ra (Earth-616),Secret,Bad,,No,Male,Living,2,05/01/1992,1992,Marvel
100154,Meru (Earth-616),,,White,Grey,Male,Living,3,03/01/1982,1982,DC
100155,Prince Garnet (New Earth),Public,Good,Brown,Black,Male,Living,9,"1985, April",1985,DC
100156,Killer Casey (Earth-616),Secret,Bad,,Bald,Male,Living,2,06/01/1941,1941,DC
100157,Madam Swabada (Earth-616),,Bad,,Grey,Female,Living,3,,,DC
100158,General Blauheim (Earth-616),Public,Bad,,Black,Male,Deceased,1,03/01/1944,1944,Marvel
100159,Paul Sloan (New Earth),Public,Bad,Red,,Male,Living,8,"1987, November",1987,DC
100160,Jenny (Earth-616),Public,Neutral,,Red,Female,Living,1,11/01/1995,1995,DC
100161,Xorr the God-Jewel (Earth-616),,Bad,Red,No,Male,Living,8,08/01/1973,1973,DC
100162,Althesia (New Earth),,Good,,Brown,Female,Living,1,"1997, July",1997,DC
100163,Pepo Laroc (Earth-616),Public,Bad,,Black,Male,Living,1,08/01/1941,1941,DC
100164,Jason Cragg (Earth-616),Public,Bad,Brown,Brown,Male,Living,9,04/01/1963,1963,DC
100165,Wendy Jones (New Earth),Public,Good,Blue,Blond,Female,Deceased,45,"1984, April",1984,DC
100166,Rebound (Earth-616),Secret,Good,,,Female,Living,1,10/01/2000,2000,DC
100167,Feldspar (Earth-616),Public,Neutral,,,Male,Living,9,05/01/1983,1983,DC
100168,Mary Rina (Heroes Reborn) (Earth-616),,Good,,,Female,Living,1,01/01/2000,2000,DC
100169,Michael van Patrick (Van) (Earth-616),Secret,Good,Blue,Brown,Male,Deceased,7,08/01/2007,2007,DC
100170,Milla Donovan (Earth-616),Public,Good,White,Black,Female,Living,43,03/01/2003,2003,DC
100171,Klara (Earth-616),,Good,,,,Living,,10/01/1978,1978,Marvel
100172,Susan Morse (Earth-616),Public,Neutral,Blue,Blond,Female,Living,4,08/01/2010,2010,DC
100173,Marcus Lassiter (Earth-616),,Bad,,,Male,Deceased,8,01/01/1970,1970,Marvel
100174,Ann Herd (Earth-616),Secret,Bad,Blue,Black,Female,Living,10,11/01/1995,1995,Marvel
100175,Cataphrax (Earth-616),Secret,Bad,Red,No,Male,Living,5,10/01/1985,1985,Marvel
100176,Sharon Vance (New Earth),Secret,Good,Brown,Brown,Female,Deceased,11,"1999, October",1999,DC
100177,Adolf (Earth-616),No Dual,Bad,Brown,Brown,Male,Deceased,145,09/01/1940,1940,DC
100178,Garrison Klum (Earth-616),Secret,Bad,,Brown,Male,Living,10,08/01/2002,2002,Marvel
100179,Carolina Washington (Earth-616),Public,Bad,,Black,Female,Living,6,12/01/2011,2011,Marvel
100180,Bill Gregory (Earth-616),No Dual,Neutral,,Orange,Male,Living,28,11/01/1950,1950,Marvel
100181,Marlene Blackgar (Earth-616),,Bad,White,Brown,Female,Deceased,3,06/01/1972,1972,DC
100182,Irma Kruhl (Earth-616),,Bad,Blue,Blond,Female,Living,2,01/01/1968,1968,Marvel
100183,Aqwen (Earth-616),,Bad,,,Female,Living,2,11/01/2011,2011,DC
100184,Trapeze Trio (Earth-616),Secret,Bad,,Brown,Male,Living,2,08/01/1941,1941,DC
100185,Irani Rael (Earth-616),Secret,Good,,,Female,Living,17,12/01/2008,2008,DC
100186,Cimfet Tau (New Earth),,Good,Black,,Male,Living,5,06/08/1905,1986,DC
100187,Mathers (Earth-616),Secret,Bad,,Brown,Male,Deceased,1,05/01/1944,1944,DC
100188,Jacob Nash (Earth-616),,,Brown,Black,Male,Living,6,06/01/2002,2002,DC
100189,Nichi (Earth-616),Public,Bad,,Bald,Male,Deceased,1,12/01/1943,1943,DC
100190,Eliot Franklin (Thunderball) (Earth-616),Public,Bad,Brown,Black,Male,Living,146,11/01/1974,1974,Marvel
100191,Ronald Parvenue (Earth-616),,Bad,,Black,Male,Living,6,12/01/1993,1993,Marvel
100192,Prester Jim (Earth-616),No Dual,Bad,,Brown,Male,Deceased,1,04/01/1948,1948,Marvel
100193,Hakon (Earth-616),No Dual,Bad,,Brown,Male,Living,1,12/01/1984,1984,DC
100194,Terrance Mitchell (Earth-616),No Dual,Neutral,Blue,Brown,Male,Living,3,03/01/2012,2012,Marvel
100195,Mangog (Earth-616),,Bad,Brown,No,Male,Living,33,07/01/1968,1968,DC
100196,Bufford Buzzard (Earth-616),,Bad,,,Male,Living,2,04/01/2011,2011,DC
100197,Agni (New Earth),Secret,Bad,Brown,Black,Male,Living,8,"1988, September",1988,DC
100198,Karen Page (Earth-616),No Dual,Good,Blue,Blond,Female,Deceased,226,04/01/1964,1964,Marvel
100199,George Crystal (New Earth),,Bad,,,Male,Living,,"1991, November",1991,DC
100200,White Lotus (New Earth),Secret,,,Black,Female,Living,3,"1995, April",1995,DC
100201,Crissy (New Earth),,Neutral,,Brown,Female,Deceased,1,"1990, July",1990,DC
